time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
1997-06-19T12:21:03.100000Z,-33.2,-70.14,106.0,5.35,Mwc,-7.006e+16,-9930000000000000.0,7.998e+16,-5.121e+16,-9.756e+16,-1.321e+16
1998-07-29T07:14:24.100000Z,-32.31,-71.29,51.1,6.41,Mwc,4.75e+18,-8.5e+16,-4.666e+18,-1.81e+18,8.31e+17,1.261e+18
1998-10-10T04:12:08.700000Z,-33.52,-72.08,33.0,5.63,Mwc,2.654e+17,7100000000000000.0,-2.725e+17,1.48e+16,-2.172e+17,3.2e+16
1998-10-29T19:55:54.800000Z,-32.76,-70.48,85.5,5.28,Mwc,3.042e+16,-3.98e+16,9380000000000000.0,-6.503e+16,-1.914e+16,7.303e+16
1999-08-02T01:06:37.800000Z,-33.02,-70.15,95.4,5.5,Mwc,-5.91e+16,-5.56e+16,1.147e+17,-8.11e+16,-1.879e+17,-7600000000000000.0
2000-03-26T03:32:36.900000Z,-32.68,-71.84,36.8,5.16,Mwc,4.769e+16,6240000000000000.0,-5.393e+16,-1.457e+16,-4.198e+16,1.097e+16
2000-06-16T07:55:35.400000Z,-33.88,-70.09,120.2,6.38,Mwc,-3.805e+18,2.61e+17,3.544e+18,3.1e+16,-2.307e+18,1.862e+18
2001-01-07T10:18:20.200000Z,-33.44,-72.23,10.0,5.9,Mwc,6.175e+17,4.78e+16,-6.653e+17,8400000000000000.0,-6.367e+17,4.92e+16
2001-03-15T13:02:42.100000Z,-32.32,-71.49,37.0,5.88,Mwc,7.484e+17,-9.79e+16,-6.505e+17,2.455e+17,3.467e+17,2.121e+17
2001-04-09T09:00:57.200000Z,-32.67,-73.11,11.0,6.65,Mwc,-1.061e+19,3e+18,7.61e+18,2.1e+17,-5e+17,7.12e+18
2001-05-06T05:59:47.700000Z,-32.45,-70.9,52.2,5.16,Mwc,4.154e+16,3490000000000000.0,-4.504e+16,-1.53e+16,-4.558e+16,2.266e+16
2001-07-24T17:42:41.500000Z,-32.85,-71.58,33.0,5.2,Mwc,7.816e+16,-1.209e+16,-6.607e+16,3170000000000000.0,-1.419e+16,2.943e+16
2003-01-07T00:54:51.600000Z,-33.76,-70.05,110.8,5.68,Mwc,-3.17e+17,-1.92e+16,3.37e+17,4.58e+16,-2.52e+17,4.55e+16
2003-06-02T02:52:11.900000Z,-32.95,-71.97,33.0,5.51,Mwc,1.69e+17,9700000000000000.0,-1.79e+17,-1.57e+16,-1.47e+17,-2.65e+16
2004-04-30T10:03:45.100000Z,-33.55,-70.52,93.8,5.03,Mwc,-2.92e+16,-1.07e+16,3.99e+16,-1.62e+16,-1.99e+16,2160000000000000.0
2004-09-07T10:57:39.700000Z,-33.97,-72.42,36.3,5.21,Mwc,4.33e+16,240000000000000.0,-4.36e+16,9260000000000000.0,-6.91e+16,-1410000000000000.0
2004-09-08T08:16:01.200000Z,-33.99,-72.32,31.9,5.07,Mwc,3.47e+16,1680000000000000.0,-3.64e+16,7390000000000000.0,-3.44e+16,4170000000000000.0
2004-09-27T22:58:24.600000Z,-32.69,-71.74,32.9,5.5,Mwc,1.29e+17,2.78e+16,-1.57e+17,1.22e+16,-1.72e+17,-1.9e+16
2005-03-13T20:38:59.700000Z,-32.59,-71.68,25.7,5.21,Mwc,5.66e+16,1.01e+16,-6.68e+16,6800000000000000.0,-5.56e+16,-1500000000000000.0
2005-03-29T16:38:20.100000Z,-33.71,-72.28,34.0,5.31,Mwc,5.88e+16,8500000000000000.0,-6.73e+16,9900000000000000.0,-9.52e+16,600000000000000.0
2005-04-13T09:25:27.600000Z,-33.14,-72.85,30.0,5.37,Mwc,-1.33e+17,3600000000000000.0,1.29e+17,1.02e+16,3.09e+16,5.3e+16
2006-02-10T17:51:54.300000Z,-32.52,-71.39,32.8,5.19,Mwc,6.42e+16,8000000000000000.0,-7.22e+16,200000000000000.0,-3.55e+16,-9300000000000000.0
2006-05-18T18:26:20.100000Z,-32.43,-71.98,10.0,5.04,Mwc,3.29e+16,-1680000000000000.0,-3.13e+16,8460000000000000.0,-3.11e+16,-730000000000000.0
2006-07-19T22:11:29.800000Z,-32.5,-71.79,36.4,5.04,Mwc,3.23e+16,1360000000000000.0,-3.37e+16,1150000000000000.0,-2.96e+16,9540000000000000.0
2007-06-28T19:25:21.400000Z,-32.0,-71.34,68.8,5.64,Mwc,-1.91e+17,2.64e+16,1.64e+17,9300000000000000.0,-3.14e+17,2.8e+16
2007-07-11T15:12:22.400000Z,-32.67,-70.28,93.8,5.05,Mwc,-1e+16,-2.45e+16,3.45e+16,-1.86e+16,-2.7e+16,2.34e+16
2007-08-08T14:14:20.000000Z,-32.47,-71.6,32.7,5.33,Mwc,5.83e+16,6900000000000000.0,-6.52e+16,2.2e+16,-1.01e+17,2.53e+16
2007-12-15T18:22:27.900000Z,-32.69,-71.68,30.2,5.9,Mwc,5.47e+17,8.8e+16,-6.35e+17,7000000000000000.0,-6.59e+17,1.2e+16
2007-12-20T03:06:56.200000Z,-32.71,-71.79,30.1,5.46,Mwc,6.61e+16,2.04e+16,-8.66e+16,-2500000000000000.0,-1.78e+17,5500000000000000.0
2008-12-18T21:19:28.400000Z,-32.46,-71.73,18.0,6.13,Mwc,1.13e+18,1.18e+17,-1.25e+18,1.33e+17,-1.54e+18,6.2e+16
2008-12-18T21:50:28.000000Z,-32.47,-72.05,25.0,5.85,Mwc,4.43e+17,7500000000000000.0,-4.51e+17,2.46e+16,-6.1e+17,5.29e+16
2008-12-19T07:30:06.000000Z,-32.54,-72.02,12.0,5.39,Mwc,9.47e+16,6400000000000000.0,-1.01e+17,1500000000000000.0,-1.17e+17,1200000000000000.0
2008-12-19T09:36:04.900000Z,-32.46,-71.95,32.2,5.72,Mwc,2.83e+17,1.64e+16,-2.99e+17,6.08e+16,-3.84e+17,1.69e+16
2008-12-19T13:57:30.000000Z,-32.58,-71.85,13.8,5.22,Mwc,3.4e+16,2.46e+16,-5.86e+16,1.98e+16,-6.78e+16,1.2e+16
